"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Migrant","0.857266435986159","9910","0.00325343435413886","0.379512624963121","1156",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Non-migrant","0.775914863711661","1081990","0.000353109151442824","0.0455087494720354","139447",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","rural","Total","Total","Total","Total","Indi","Total","Total","0.366013071895425","560","0.0123152358769122","3.36469837351352","153",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","rural","Total","Total","Total","Total","Otro","Total","Total","0.543637616690684","260310","0.000719811852529471","0.132406557315004","47883",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","urban","Total","Total","Total","Total","Indi","Total","Total","0.817708333333333","1570","0.00881113804282196","1.07754044854893","192",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","urban","Total","Total","Total","Total","Otro","Total","Total","0.897926928281461","829460","0.000314991521673784","0.0350798613732016","92375",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","Total","Total","Total","Total","Total","Indi","Total","Total","0.617391304347826","2130","0.0082746212604516","1.34025555627033","345",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.776975288397097","1089770","0.000351492672249204","0.0452385909176514","140258",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","rural","Total","Total","Total","Total","Total","Total","Total","0.54307186276959","260870","0.000718735645513805","0.132346323716415","48036",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","urban","Total","Total","Total","Total","Total","Total","Total","0.897760541013536","831030","0.000314891859431341","0.0350752617257872","92567",""
"year","2007","country","SLV","SLV-IPUMS","aguared_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.776583714429991","1091900","0.00035128067562068","0.0452341027880708","140603",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Migrant","0.40160284951024","4510","0.00462597491133228","1.15187801007232","1123",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Non-migrant","0.170891251022077","231990","0.000323065770178598","0.189047577477715","135753",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","rural","Total","Total","Total","Total","Indi","Total","Total","0.0141843971631206","20","0.00314915276687333","22.201527006457","141",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","rural","Total","Total","Total","Total","Otro","Total","Total","0.0728435867363258","34160","0.000379497478085361","0.520975826546048","46895",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","urban","Total","Total","Total","Total","Indi","Total","Total","0.169312169312169","320","0.00862644999344491","5.0949970273784","189",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","urban","Total","Total","Total","Total","Otro","Total","Total","0.225318178269066","202000","0.000441247470844642","0.19583305449848","89651",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","Total","Total","Total","Total","Total","Indi","Total","Total","0.103030303030303","340","0.00529193381872389","5.13628870640848","330",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.172952704583071","236160","0.000323660246524477","0.187138008222947","136546",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","rural","Total","Total","Total","Total","Total","Total","Total","0.07266774385577","34180","0.000378506490233426","0.520872769883541","47036",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","urban","Total","Total","Total","Total","Total","Total","Total","0.22520035618878","202320","0.000440701340082004","0.195693003128545","89840",""
"year","2007","country","SLV","SLV-IPUMS","auto_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.172784125778077","236500","0.000323145191144827","0.187022499717291","136876",""
"year","2007","country","SLV","SLV-IPUMS","cel_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Migrant","0.231793960923623","2610","0.0039766807008302","1.71561014143096","1126",""
"year","2007","country","SLV","SLV-IPUMS","cel_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Non-migrant","0.356850112780292","484110","0.000411310607974366","0.115261448222549","135662",""
"year","2007","country","SLV","SLV-IPUMS","cel_ch_PHC","rural","Total","Total","Total","Total","Indi","Total","Total","0.668965517241379","970","0.0123581790306678","1.84735665922353","145",""
