"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","Total","Total","15_24","Total","Total","Total",0.390386155077908,190161,0.000698974113130009,0.179046849904428,8756,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","Total","Total","25_64","Total","Total","Total",0.381503078673453,315867,0.000533844398670042,0.13993187172337,14666,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","Total","Total","65+","Total","Total","Total",0.389932934918877,64073,0.00120320929735957,0.308568266389166,2944,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","Total","Total","00_04","Total","Total","Total",0.152442285885449,42750,0.000678769053023826,0.44526297220043,3389,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","Total","Total","05_14","Total","Total","Total",0.15163179939294,110453,0.000420236452236482,0.277142692970013,8511,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","Total","Total","15_24","Total","Total","Total",0.115062071293753,89979,0.000360842772778736,0.313607054628372,8970,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","Total","Total","25_64","Total","Total","Total",0.0909046905875051,159635,0.000216933659807072,0.238638576739064,18947,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","Total","Total","65+","Total","Total","Total",0.116003454165635,36539,0.000570581749720301,0.491866172282766,3489,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","men","Total","00_04","Total","Total","Total",0.293994447821016,71590,0.000923245087981796,0.314034872027198,3605,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","men","Total","05_14","Total","Total","Total",0.301418292756793,189102,0.000579335510113399,0.192203168830517,9041,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","men","Total","15_24","Total","Total","Total",0.206254966600839,131074,0.000507559135527831,0.246083352024245,8881,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","men","Total","25_64","Total","Total","Total",0.184991208774017,212847,0.000361991581097724,0.195680423678904,14956,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","men","Total","65+","Total","Total","Total",0.23543298584526,47969,0.00093992836680958,0.399233932082633,2845,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","women","Total","00_04","Total","Total","Total",0.300800483685952,72637,0.000933254602448636,0.310257015219095,3492,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","women","Total","05_14","Total","Total","Total",0.306784225240001,191164,0.000584203545497716,0.190428156806526,8781,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","women","Total","15_24","Total","Total","Total",0.235261253213682,149066,0.000532865563364592,0.226499500485362,8845,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","women","Total","25_64","Total","Total","Total",0.18323339925843,262655,0.000323117728658806,0.176342157033874,18657,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","women","Total","65+","Total","Total","Total",0.191045610265939,52643,0.000748908510396832,0.392005086824208,3588,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","Total","Total","00_04","Total","Total","Total",0.297383228828814,144227,0.000656375622936127,0.220717094747116,7097,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","Total","Total","05_14","Total","Total","Total",0.30409213624034,380266,0.000411374448758626,0.135279541866711,17822,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","Total","Total","15_24","Total","Total","Total",0.220736671410133,280140,0.000368153595929937,0.166784066090178,17726,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","Total","Total","25_64","Total","Total","Total",0.184016092729789,475502,0.000241057377695636,0.130997987251912,33613,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","Total","Total","65+","Total","Total","Total",0.209914458585437,100612,0.000588239954286112,0.280228412206629,6433,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","Total","Total","Total","Total",0.421384377919644,453729,0.000475855660048243,0.11292674455506,19158,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","Total","Total","Total","Total",0.111468060131865,198853,0.000235624741711418,0.21138319033513,20170,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","women","Total","Total","Total","Total","Total",0.431848209952853,487662,0.000466126566274422,0.107937593703424,20227,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","women","Total","Total","Total","Total","Total",0.115739232415436,240503,0.0002219271966251,0.191747596725466,23136,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","Total","Total","Total","Total","Total","Total",0.426740773580441,941391,0.000333007983832762,0.0780351924281241,39385,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","Total","Total","Total","Total","Total","Total",0.113766239012263,439356,0.000161576897716471,0.1420253487496,43306,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","men","Total","Total","Total","Total","Total",0.228119372014721,652582,0.000248095960311916,0.108757076665942,39328,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","women","Total","Total","Total","Total","Total",0.227039517438327,728165,0.000233918839413765,0.103030010833822,43363,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","Total","Total","Total","Total","Total","Total","Total","Total",0.227548611789771,1380747,0.000170197319210028,0.0747960261639703,82691,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","men","Total","00_04","Total","Total","Total",0.773128830825012,80601,0.00129709357604087,0.167771983701181,1901,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","men","Total","05_14","Total","Total","Total",0.76882454320837,201635,0.000823218537243702,0.107074955464915,4729,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","men","Total","15_24","Total","Total","Total",0.641265607855387,160133,0.000959807271939609,0.14967390425779,4448,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","men","Total","25_64","Total","Total","Total",0.63452349766857,242223,0.000779416777708187,0.122834974681316,6671,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","men","Total","65+","Total","Total","Total",0.620876540546029,48917,0.00172848522905729,0.278394353173205,1409,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","men","Total","00_04","Total","Total","Total",0.377006211626153,52500,0.00129870559737598,0.344478567547794,1704,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","men","Total","05_14","Total","Total","Total",0.402021308646709,146782,0.000811438344959971,0.20183963573758,4312,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","men","Total","15_24","Total","Total","Total",0.284210471744332,109643,0.000726176667659763,0.255506654347702,4433,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","men","Total","25_64","Total","Total","Total",0.237080845274498,182277,0.000485031327928011,0.204584780928392,8285,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","men","Total","65+","Total","Total","Total",0.299325389521531,37404,0.00129551582560225,0.432811873283828,1436,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","women","Total","00_04","Total","Total","Total",0.766869391824526,76917,0.00133508797364815,0.174095874458065,1807,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","women","Total","05_14","Total","Total","Total",0.772847118778459,200788,0.000822022755843275,0.106362919116855,4582,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","women","Total","15_24","Total","Total","Total",0.671165478778075,159332,0.00096419929283789,0.143660441921613,4308,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","women","Total","25_64","Total","Total","Total",0.64649921338192,288477,0.000715661404757581,0.110697954451308,7995,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","women","Total","65+","Total","Total","Total",0.626533069881096,53588,0.00165400302905258,0.263992933264717,1535,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","women","Total","00_04","Total","Total","Total",0.406901876341382,57446,0.00130744392242681,0.321316759259643,1685,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","women","Total","05_14","Total","Total","Total",0.376520358142569,136797,0.000803824640778979,0.2134876968524,4199,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","women","Total","15_24","Total","Total","Total",0.323403739813186,128140,0.000743134586417789,0.229785402867345,4537,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","women","Total","25_64","Total","Total","Total",0.261318779495376,257982,0.000442185449385664,0.16921303943006,10662,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","women","Total","65+","Total","Total","Total",0.263560343330474,50082,0.0010106663731293,0.383466784250634,2053,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","Total","Total","00_04","Total","Total","Total",0.770059593357223,157518,0.000930393973625872,0.120821035365541,3708,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","Total","Total","05_14","Total","Total","Total",0.770826349874633,402423,0.000581697899994107,0.0754641950276758,9311,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","Total","Total","15_24","Total","Total","Total",0.655837490505225,319465,0.000680716655339105,0.103793495369518,8756,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","Total","Total","25_64","Total","Total","Total",0.640977638854332,530700,0.000527204470862376,0.0822500566173709,14666,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","Total","Total","65+","Total","Total","Total",0.62382088389586,102505,0.00119504628337831,0.19156881634277,2944,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","Total","Total","00_04","Total","Total","Total",0.392056597987405,109946,0.000921914455985293,0.235148307850926,3389,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","Total","Total","05_14","Total","Total","Total",0.389302183191498,283579,0.000571298376106851,0.146749337859693,8511,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","Total","Total","15_24","Total","Total","Total",0.304068777141805,237783,0.00052019309997411,0.171077446643433,8970,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","Total","Total","25_64","Total","Total","Total",0.250706976373379,440259,0.000327068065530964,0.130458302462178,18947,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","Total","Total","65+","Total","Total","Total",0.27774920471646,87486,0.000798045325859979,0.287325872516777,3489,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","men","Total","00_04","Total","Total","Total",0.546598058380012,133101,0.00100883261261944,0.184565714633049,3605,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","men","Total","05_14","Total","Total","Total",0.555357729201401,348417,0.000627376902599251,0.112968068978064,9041,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","men","Total","15_24","Total","Total","Total",0.424513174769274,269776,0.000620022158120288,0.14605486825168,8881,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","men","Total","25_64","Total","Total","Total",0.36894467915719,424500,0.000449837980293831,0.121925590937219,14956,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","men","Total","65+","Total","Total","Total",0.423665508373088,86321,0.00109471780760756,0.258392006423031,2845,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","women","Total","00_04","Total","Total","Total",0.556416914100191,134363,0.00101099257549121,0.181696952387966,3492,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","women","Total","05_14","Total","Total","Total",0.541763892143112,337585,0.00063119440363253,0.116507285329712,8781,""
