"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year",2007,"country","SLV","SLV-EHPM","indexrem","rural","Total","men","Total","Total","Total","Total","Total",1,34813,0,0,507,""
"year",2007,"country","SLV","SLV-EHPM","indexrem","urban","Total","men","Total","Total","Total","Total","Total",1,37317,0,0,405,""
"year",2007,"country","SLV","SLV-EHPM","indexrem","rural","Total","women","Total","Total","Total","Total","Total",1,52433,0,0,808,""
"year",2007,"country","SLV","SLV-EHPM","indexrem","urban","Total","women","Total","Total","Total","Total","Total",1,87551,0,0,913,""
"year",2007,"country","SLV","SLV-EHPM","indexrem","rural","Total","Total","Total","Total","Total","Total","Total",1,87246,0,0,1315,""
"year",2007,"country","SLV","SLV-EHPM","indexrem","urban","Total","Total","Total","Total","Total","Total","Total",1,124868,0,0,1318,""
"year",2007,"country","SLV","SLV-EHPM","indexrem","Total","Total","men","Total","Total","Total","Total","Total",1,72130,0,0,912,""
"year",2007,"country","SLV","SLV-EHPM","indexrem","Total","Total","women","Total","Total","Total","Total","Total",1,139984,0,0,1721,""
"year",2007,"country","SLV","SLV-EHPM","indexrem","Total","Total","Total","Total","Total","Total","Total","Total",1,212114,0,0,2633,""
"year",2007,"country","SLV","SLV-EHPM","ylmfem_ch","rural","Total","Total","Total","Total","Total","Total","Total",0.418154597916586,7393,0.0652448838229831,10596.2652800386,3110.25318567599,""
"year",2007,"country","SLV","SLV-EHPM","ylmfem_ch","urban","Total","Total","Total","Total","Total","Total","Total",0.461507730164892,8931,0.0716003946838356,15028.2353925156,4187.73771400234,""
"year",2007,"country","SLV","SLV-EHPM","ylmfem_ch","Total","Total","Total","Total","Total","Total","Total","Total",0.447220960223112,16324,0.0510347307954274,13499.8868950417,7297.99089967833,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","00_04","Total","Total","Total",0.526275381351652,52096,0.00158698872994132,0.301551010397902,1582,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","05_14","Total","Total","Total",0.517715639556674,154710,0.000914078893561393,0.176560030974558,4684,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","15_24","Total","Total","Total",0.371416976055555,74130,0.00108154868520782,0.29119527510397,3248,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","25_64","Total","Total","Total",0.390864929461611,125923,0.000859668426007578,0.219940025622588,5201,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","65+","Total","Total","Total",0.380641311516598,24240,0.00192406939016674,0.505480969078375,992,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","00_04","Total","Total","Total",0.132275060703005,19557,0.000881085170015208,0.666100748948809,1462,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","05_14","Total","Total","Total",0.150165145577909,59513,0.00056745377471857,0.377886474610823,3947,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","15_24","Total","Total","Total",0.087290105752587,27635,0.000501650979367414,0.574693975957919,3109,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","25_64","Total","Total","Total",0.0789822438103943,53578,0.000327469019921414,0.414610935474992,6368,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","65+","Total","Total","Total",0.123521166246145,13218,0.00100584074926889,0.814306389614645,1072,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","women","Total","00_04","Total","Total","Total",0.508936004028653,49521,0.00160264568777335,0.314901220406314,1537,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","women","Total","05_14","Total","Total","Total",0.508690208395229,143823,0.00094019278946051,0.184826201476641,4427,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","women","Total","15_24","Total","Total","Total",0.421944292682447,85726,0.00109567987221946,0.25967405916403,3268,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","women","Total","25_64","Total","Total","Total",0.389341226861093,155075,0.000772607284512505,0.198439628585275,6431,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","rural","Total","women","Total","65+","Total","Total","Total",0.373299130046844,26776,0.00180598557415603,0.483790458855183,1135,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","women","Total","00_04","Total","Total","Total",0.155266824840884,20614,0.00099393346065509,0.640145415270559,1343,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","women","Total","05_14","Total","Total","Total",0.135241395216615,50428,0.00056004279776217,0.414106048569786,3722,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","women","Total","15_24","Total","Total","Total",0.0873039342896975,28932,0.00049035168988229,0.561660472545457,3280,""
"year",2007,"country","SLV","SLV-EHPM","pobreza31","urban","Total","women","Total","25_64","Total","Total","Total",0.0813282961077861,72224,0.000290055479878716,0.356647678311494,8477,""
