Pais,source,year,availability,person
PRY,IPUMS/external,2007,NA,
PRY,IPUMS/external,2010,NA,
PRY,IPUMS/external,2011,NA,
PRY,IPUMS/external,2012,0,
PRY,IPUMS/external,2013,NA,
PRY,IPUMS/external,2015,NA,
PRY,IPUMS/external,2017,NA,
PRY,IPUMS/external,2018,NA,
PRY,IPUMS/external,2020,NA,
PER,IPUMS/IDB,1960,NA,
PER,IPUMS/IDB,1961,NA,
PER,IPUMS/IDB,1962,NA,
PER,IPUMS/IDB,1963,NA,
PER,IPUMS/IDB,1964,NA,
PER,IPUMS/IDB,1970,NA,
PER,IPUMS/IDB,1971,NA,
PER,IPUMS/IDB,1972,NA,
PER,IPUMS/IDB,1973,NA,
PER,IPUMS/IDB,1974,NA,
PER,IPUMS/IDB,1975,NA,
PER,IPUMS/IDB,1976,NA,
