Pais,source,year,availability,person
BLZ,NA,2005,NA,
BLZ,NA,2006,NA,
BLZ,NA,2007,NA,
BLZ,NA,2010,NA,
BLZ,NA,2011,NA,
BLZ,NA,2012,NA,
BLZ,NA,2013,NA,
BLZ,NA,2015,NA,
BLZ,NA,2017,NA,
BLZ,NA,2018,NA,
BLZ,NA,2020,NA,
BOL,IPUMS,1960,NA,
BOL,IPUMS,1961,NA,
BOL,IPUMS,1962,NA,
BOL,IPUMS,1963,NA,
BOL,IPUMS,1964,NA,
BOL,IPUMS,1970,NA,
BOL,IPUMS,1971,NA,
BOL,IPUMS,1972,NA,
BOL,IPUMS,1973,NA,
BOL,IPUMS,1974,NA,
BOL,IPUMS,1975,NA,
BOL,IPUMS,1976,1,
BOL,IPUMS,1980,NA,
BOL,IPUMS,1981,NA,
BOL,IPUMS,1982,NA,
BOL,IPUMS,1984,NA,
BOL,IPUMS,1985,NA,
BOL,IPUMS,1988,NA,
BOL,IPUMS,1990,NA,
BOL,IPUMS,1991,NA,
BOL,IPUMS,1992,1,
BOL,IPUMS,1993,NA,
BOL,IPUMS,1994,NA,
BOL,IPUMS,1995,NA,
BOL,IPUMS,1996,NA,
BOL,IPUMS,2000,NA,
BOL,IPUMS,2001,1,David
BOL,IPUMS,2002,NA,
BOL,IPUMS,2003,NA,
BOL,IPUMS,2004,NA,
BOL,IPUMS,2005,NA,
BOL,IPUMS,2006,NA,
BOL,IPUMS,2007,NA,
BOL,IPUMS,2010,NA,
BOL,IPUMS,2011,NA,
BOL,IPUMS,2012,1,David
BOL,IPUMS,2013,NA,
BOL,IPUMS,2015,NA,
BOL,IPUMS,2017,NA,
BOL,IPUMS,2018,NA,
BOL,IPUMS,2020,NA,
BRA,IPUMS,1960,1,
BRA,IPUMS,1961,NA,
BRA,IPUMS,1962,NA,
BRA,IPUMS,1963,NA,
BRA,IPUMS,1964,NA,
BRA,IPUMS,1970,1,
BRA,IPUMS,1971,NA,
BRA,IPUMS,1972,NA,
BRA,IPUMS,1973,NA,
BRA,IPUMS,1974,NA,
BRA,IPUMS,1975,NA,
BRA,IPUMS,1976,NA,
BRA,IPUMS,1980,1,
BRA,IPUMS,1981,NA,
BRA,IPUMS,1982,NA,
BRA,IPUMS,1984,NA,
BRA,IPUMS,1985,NA,
BRA,IPUMS,1988,NA,
BRA,IPUMS,1990,NA,
BRA,IPUMS,1991,1,
BRA,IPUMS,1992,NA,
BRA,IPUMS,1993,NA,
BRA,IPUMS,1994,NA,
BRA,IPUMS,1995,NA,
BRA,IPUMS,1996,NA,
BRA,IPUMS,2000,1,
BRA,IPUMS,2001,NA,
BRA,IPUMS,2002,NA,
BRA,IPUMS,2003,NA,
BRA,IPUMS,2004,NA,
BRA,IPUMS,2005,NA,
BRA,IPUMS,2006,NA,
BRA,IPUMS,2007,NA,
BRA,IPUMS,2010,1,
BRA,IPUMS,2011,NA,
BRA,IPUMS,2012,NA,
BRA,IPUMS,2013,NA,
BRA,IPUMS,2015,NA,
BRA,IPUMS,2017,NA,
BRA,IPUMS,2018,NA,
BRA,IPUMS,2020,NA,
BRB,IDB,1960,NA,
BRB,IDB,1961,NA,
BRB,IDB,1962,NA,
BRB,IDB,1963,NA,
BRB,IDB,1964,NA,
BRB,IDB,1970,NA,
BRB,IDB,1971,NA,
BRB,IDB,1972,NA,
BRB,IDB,1973,NA,
BRB,IDB,1974,NA,
BRB,IDB,1975,NA,
BRB,IDB,1976,NA,
BRB,IDB,1980,NA,
BRB,IDB,1981,NA,
BRB,IDB,1982,NA,
BRB,IDB,1984,NA,
BRB,IDB,1985,NA,
BRB,IDB,1988,NA,
BRB,IDB,1990,0,
BRB,IDB,1991,NA,
BRB,IDB,1992,NA,
BRB,IDB,1993,NA,
BRB,IDB,1994,NA,
BRB,IDB,1995,NA,
BRB,IDB,1996,NA,
BRB,IDB,2000,0,
BRB,IDB,2001,NA,
BRB,IDB,2002,NA,
BRB,IDB,2003,NA,
BRB,IDB,2004,NA,
BRB,IDB,2005,NA,
BRB,IDB,2006,NA,
BRB,IDB,2007,NA,
BRB,IDB,2010,0,
BRB,IDB,2011,NA,
BRB,IDB,2012,NA,
BRB,IDB,2013,NA,
BRB,IDB,2015,NA,
BRB,IDB,2017,NA,
BRB,IDB,2018,NA,
BRB,IDB,2020,NA,
CHL,IPUMS,1960,1,
CHL,IPUMS,1961,NA,
CHL,IPUMS,1962,NA,
CHL,IPUMS,1963,NA,
CHL,IPUMS,1964,NA,
CHL,IPUMS,1970,1,
CHL,IPUMS,1971,NA,
CHL,IPUMS,1972,NA,
CHL,IPUMS,1973,NA,
CHL,IPUMS,1974,NA,
CHL,IPUMS,1975,NA,
CHL,IPUMS,1976,NA,
CHL,IPUMS,1980,NA,
CHL,IPUMS,1981,NA,
CHL,IPUMS,1982,1,
CHL,IPUMS,1984,NA,
CHL,IPUMS,1985,NA,
CHL,IPUMS,1988,NA,
CHL,IPUMS,1990,NA,
CHL,IPUMS,1991,NA,
CHL,IPUMS,1992,1,
CHL,IPUMS,1993,NA,
CHL,IPUMS,1994,NA,
CHL,IPUMS,1995,NA,
CHL,IPUMS,1996,NA,
CHL,IPUMS,2000,NA,
CHL,IPUMS,2001,NA,
CHL,IPUMS,2002,1,David
CHL,IPUMS,2003,NA,
CHL,IPUMS,2004,NA,
CHL,IPUMS,2005,NA,
CHL,IPUMS,2006,NA,
CHL,IPUMS,2007,NA,
CHL,IPUMS,2010,NA,
CHL,IPUMS,2011,NA,
CHL,IPUMS,2012,NA,
CHL,IPUMS,2013,NA,
CHL,IPUMS,2015,NA,
CHL,IPUMS,2017,1,David
CHL,IPUMS,2018,NA,
CHL,IPUMS,2020,NA,
COL,IDB/external,1960,NA,
COL,IDB/external,1961,NA,
COL,IDB/external,1962,NA,
COL,IDB/external,1963,NA,
COL,IDB/external,1964,1,
COL,IDB/external,1970,NA,
COL,IDB/external,1971,NA,
COL,IDB/external,1972,NA,
COL,IDB/external,1973,1,
COL,IDB/external,1974,NA,
COL,IDB/external,1975,NA,
COL,IDB/external,1976,NA,
COL,IDB/external,1980,NA,
COL,IDB/external,1981,NA,
COL,IDB/external,1982,NA,
COL,IDB/external,1984,NA,
COL,IDB/external,1985,1,
COL,IDB/external,1988,NA,
COL,IDB/external,1990,NA,
COL,IDB/external,1991,NA,
COL,IDB/external,1992,NA,
COL,IDB/external,1993,1,
COL,IDB/external,1994,NA,
COL,IDB/external,1995,NA,
COL,IDB/external,1996,NA,
COL,IDB/external,2000,NA,
COL,IDB/external,2001,NA,
COL,IDB/external,2002,NA,
COL,IDB/external,2003,NA,
COL,IDB/external,2004,NA,
COL,IDB/external,2005,1,
COL,IDB/external,2006,NA,
COL,IDB/external,2007,NA,
COL,IDB/external,2010,NA,
